transit_uid,date,material,sending,receiving,actual_ship_date,actual_delivery_date,quantity,ori_deployment_uid,vehicle_uid
80848026|0386|A680|2026-01-22|net demand for forecast|038106_transit_20260122-0386-A680-Train-#1,2026-01-22,80848026,0386,A680,2026-01-22,2026-01-29,18,80848026|0386|A680|2026-01-22|net demand for forecast|038106,20260122-0386-A680-Train-#1
80848026|0386|A680|2026-01-22|net demand for forecast|038107_transit_20260122-0386-A680-Train-#1,2026-01-22,80848026,0386,A680,2026-01-22,2026-01-29,18,80848026|0386|A680|2026-01-22|net demand for forecast|038107,20260122-0386-A680-Train-#1
80848026|0386|A680|2026-01-22|net demand for forecast|038108_transit_20260122-0386-A680-Train-#1,2026-01-22,80848026,0386,A680,2026-01-22,2026-01-29,18,80848026|0386|A680|2026-01-22|net demand for forecast|038108,20260122-0386-A680-Train-#1
80848026|0386|A680|2026-01-22|net demand for forecast|038109_transit_20260122-0386-A680-Train-#1,2026-01-22,80848026,0386,A680,2026-01-22,2026-01-30,18,80848026|0386|A680|2026-01-22|net demand for forecast|038109,20260122-0386-A680-Train-#1
80848026|0386|A680|2026-01-22|net demand for forecast|038110_transit_20260122-0386-A680-Train-#1,2026-01-22,80848026,0386,A680,2026-01-22,2026-01-29,18,80848026|0386|A680|2026-01-22|net demand for forecast|038110,20260122-0386-A680-Train-#1
80848026|0386|A680|2026-01-22|net demand for forecast|038111_transit_20260122-0386-A680-Train-#1,2026-01-22,80848026,0386,A680,2026-01-22,2026-01-29,18,80848026|0386|A680|2026-01-22|net demand for forecast|038111,20260122-0386-A680-Train-#1
80848026|0386|A680|2026-01-22|net demand for forecast|038112_transit_20260122-0386-A680-Train-#1,2026-01-22,80848026,0386,A680,2026-01-22,2026-01-29,22,80848026|0386|A680|2026-01-22|net demand for forecast|038112,20260122-0386-A680-Train-#1
80848026|0386|A680|2026-01-22|net demand for forecast|038113_transit_20260122-0386-A680-Train-#1,2026-01-22,80848026,0386,A680,2026-01-22,2026-01-29,22,80848026|0386|A680|2026-01-22|net demand for forecast|038113,20260122-0386-A680-Train-#1
21128377|0386|A680|2026-01-22|net demand for safety|037212_transit_20260122-0386-A680-Train-#1,2026-01-22,21128377,0386,A680,2026-01-22,2026-01-29,8,21128377|0386|A680|2026-01-22|net demand for safety|037212,20260122-0386-A680-Train-#1
21132988|0386|A680|2026-01-22|net demand for safety|037248_transit_20260122-0386-A680-Train-#1,2026-01-22,21132988,0386,A680,2026-01-22,2026-01-29,18,21132988|0386|A680|2026-01-22|net demand for safety|037248,20260122-0386-A680-Train-#1
21141769|0386|A680|2026-01-22|net demand for safety|037307_transit_20260122-0386-A680-Train-#1,2026-01-22,21141769,0386,A680,2026-01-22,2026-01-29,3,21141769|0386|A680|2026-01-22|net demand for safety|037307,20260122-0386-A680-Train-#1
21171453|0386|A680|2026-01-22|net demand for safety|037390_transit_20260122-0386-A680-Train-#1,2026-01-22,21171453,0386,A680,2026-01-22,2026-01-29,3,21171453|0386|A680|2026-01-22|net demand for safety|037390,20260122-0386-A680-Train-#1
21422791|0386|A680|2026-01-22|net demand for safety|037473_transit_20260122-0386-A680-Train-#1,2026-01-22,21422791,0386,A680,2026-01-22,2026-01-29,4,21422791|0386|A680|2026-01-22|net demand for safety|037473,20260122-0386-A680-Train-#1
80807116|0386|A680|2026-01-22|net demand for safety|037770_transit_20260122-0386-A680-Train-#1,2026-01-22,80807116,0386,A680,2026-01-22,2026-01-29,16,80807116|0386|A680|2026-01-22|net demand for safety|037770,20260122-0386-A680-Train-#1
80812845|0386|A680|2026-01-22|net demand for safety|037865_transit_20260122-0386-A680-Train-#1,2026-01-22,80812845,0386,A680,2026-01-22,2026-01-29,135,80812845|0386|A680|2026-01-22|net demand for safety|037865,20260122-0386-A680-Train-#1
80848024|0386|A680|2026-01-22|net demand for safety|038044_transit_20260122-0386-A680-Train-#1,2026-01-22,80848024,0386,A680,2026-01-22,2026-01-29,11,80848024|0386|A680|2026-01-22|net demand for safety|038044,20260122-0386-A680-Train-#1
80848026|0386|A680|2026-01-22|net demand for safety|038114_transit_20260122-0386-A680-Train-#1,2026-01-22,80848026,0386,A680,2026-01-22,2026-01-29,227,80848026|0386|A680|2026-01-22|net demand for safety|038114,20260122-0386-A680-Train-#1
21128377|0386|A680|2026-01-22|push replenishment|037213_transit_20260122-0386-A680-Train-#1,2026-01-22,21128377,0386,A680,2026-01-22,2026-01-29,64,21128377|0386|A680|2026-01-22|push replenishment|037213,20260122-0386-A680-Train-#1
21132988|0386|A680|2026-01-22|push replenishment|037249_transit_20260122-0386-A680-Train-#1,2026-01-22,21132988,0386,A680,2026-01-22,2026-01-29,10,21132988|0386|A680|2026-01-22|push replenishment|037249,20260122-0386-A680-Train-#1
21141769|0386|A680|2026-01-22|push replenishment|037308_transit_20260122-0386-A680-Train-#1,2026-01-22,21141769,0386,A680,2026-01-22,2026-01-29,21,21141769|0386|A680|2026-01-22|push replenishment|037308,20260122-0386-A680-Train-#1
21171453|0386|A680|2026-01-22|push replenishment|037391_transit_20260122-0386-A680-Train-#1,2026-01-22,21171453,0386,A680,2026-01-22,2026-01-29,51,21171453|0386|A680|2026-01-22|push replenishment|037391,20260122-0386-A680-Train-#1
21422791|0386|A680|2026-01-22|push replenishment|037474_transit_20260122-0386-A680-Train-#1,2026-01-22,21422791,0386,A680,2026-01-22,2026-01-29,60,21422791|0386|A680|2026-01-22|push replenishment|037474,20260122-0386-A680-Train-#1
80804138|0386|A680|2026-01-22|push replenishment|037573_transit_20260122-0386-A680-Train-#1,2026-01-22,80804138,0386,A680,2026-01-22,2026-01-29,122,80804138|0386|A680|2026-01-22|push replenishment|037573,20260122-0386-A680-Train-#1
80812845|0386|A680|2026-01-22|push replenishment|037866_transit_20260122-0386-A680-Train-#1,2026-01-22,80812845,0386,A680,2026-01-22,2026-01-29,260,80812845|0386|A680|2026-01-22|push replenishment|037866,20260122-0386-A680-Train-#1
80848024|0386|A680|2026-01-22|push replenishment|038045_transit_20260122-0386-A680-Train-#1,2026-01-22,80848024,0386,A680,2026-01-22,2026-01-29,109,80848024|0386|A680|2026-01-22|push replenishment|038045,20260122-0386-A680-Train-#1
80812103|0386|A716|2026-01-21|net demand for forecast|036898_transit_20260122-0386-A716-Train-#1,2026-01-22,80812103,0386,A716,2026-01-22,2026-02-05,1,80812103|0386|A716|2026-01-21|net demand for forecast|036898,20260122-0386-A716-Train-#1
80812103|0386|A716|2026-01-21|net demand for forecast|036899_transit_20260122-0386-A716-Train-#1,2026-01-22,80812103,0386,A716,2026-01-22,2026-02-05,1,80812103|0386|A716|2026-01-21|net demand for forecast|036899,20260122-0386-A716-Train-#1
80812103|0386|A716|2026-01-21|net demand for forecast|036900_transit_20260122-0386-A716-Train-#1,2026-01-22,80812103,0386,A716,2026-01-22,2026-02-05,1,80812103|0386|A716|2026-01-21|net demand for forecast|036900,20260122-0386-A716-Train-#1
80812103|0386|A716|2026-01-21|net demand for forecast|036901_transit_20260122-0386-A716-Train-#1,2026-01-22,80812103,0386,A716,2026-01-22,2026-02-05,1,80812103|0386|A716|2026-01-21|net demand for forecast|036901,20260122-0386-A716-Train-#1
80812103|0386|A716|2026-01-21|net demand for forecast|036902_transit_20260122-0386-A716-Train-#1,2026-01-22,80812103,0386,A716,2026-01-22,2026-02-05,1,80812103|0386|A716|2026-01-21|net demand for forecast|036902,20260122-0386-A716-Train-#1
80812103|0386|A716|2026-01-21|net demand for forecast|036903_transit_20260122-0386-A716-Train-#1,2026-01-22,80812103,0386,A716,2026-01-22,2026-02-05,1,80812103|0386|A716|2026-01-21|net demand for forecast|036903,20260122-0386-A716-Train-#1
80812103|0386|A716|2026-01-21|net demand for forecast|036904_transit_20260122-0386-A716-Train-#1,2026-01-22,80812103,0386,A716,2026-01-22,2026-02-05,1,80812103|0386|A716|2026-01-21|net demand for forecast|036904,20260122-0386-A716-Train-#1
80812103|0386|A716|2026-01-21|net demand for forecast|036905_transit_20260122-0386-A716-Train-#1,2026-01-22,80812103,0386,A716,2026-01-22,2026-02-05,1,80812103|0386|A716|2026-01-21|net demand for forecast|036905,20260122-0386-A716-Train-#1
80812103|0386|A716|2026-01-21|net demand for forecast|036906_transit_20260122-0386-A716-Train-#1,2026-01-22,80812103,0386,A716,2026-01-22,2026-02-05,1,80812103|0386|A716|2026-01-21|net demand for forecast|036906,20260122-0386-A716-Train-#1
80812103|0386|A716|2026-01-21|net demand for forecast|036907_transit_20260122-0386-A716-Train-#1,2026-01-22,80812103,0386,A716,2026-01-22,2026-02-05,1,80812103|0386|A716|2026-01-21|net demand for forecast|036907,20260122-0386-A716-Train-#1
80812103|0386|A716|2026-01-21|net demand for forecast|036908_transit_20260122-0386-A716-Train-#1,2026-01-22,80812103,0386,A716,2026-01-22,2026-02-05,2,80812103|0386|A716|2026-01-21|net demand for forecast|036908,20260122-0386-A716-Train-#1
80812103|0386|A716|2026-01-21|net demand for forecast|036909_transit_20260122-0386-A716-Train-#1,2026-01-22,80812103,0386,A716,2026-01-22,2026-02-05,2,80812103|0386|A716|2026-01-21|net demand for forecast|036909,20260122-0386-A716-Train-#1
80812103|0386|A716|2026-01-21|net demand for forecast|036910_transit_20260122-0386-A716-Train-#1,2026-01-22,80812103,0386,A716,2026-01-22,2026-02-05,2,80812103|0386|A716|2026-01-21|net demand for forecast|036910,20260122-0386-A716-Train-#1
80812103|0386|A716|2026-01-21|net demand for forecast|036911_transit_20260122-0386-A716-Train-#1,2026-01-22,80812103,0386,A716,2026-01-22,2026-02-05,2,80812103|0386|A716|2026-01-21|net demand for forecast|036911,20260122-0386-A716-Train-#1
80812103|0386|A716|2026-01-21|net demand for forecast|036912_transit_20260122-0386-A716-Train-#1,2026-01-22,80812103,0386,A716,2026-01-22,2026-02-05,2,80812103|0386|A716|2026-01-21|net demand for forecast|036912,20260122-0386-A716-Train-#1
80812103|0386|A716|2026-01-21|net demand for forecast|036913_transit_20260122-0386-A716-Train-#1,2026-01-22,80812103,0386,A716,2026-01-22,2026-02-05,2,80812103|0386|A716|2026-01-21|net demand for forecast|036913,20260122-0386-A716-Train-#1
80812103|0386|A716|2026-01-21|net demand for forecast|036914_transit_20260122-0386-A716-Train-#1,2026-01-22,80812103,0386,A716,2026-01-22,2026-02-05,2,80812103|0386|A716|2026-01-21|net demand for forecast|036914,20260122-0386-A716-Train-#1
80812103|0386|A716|2026-01-21|net demand for forecast|036915_transit_20260122-0386-A716-Train-#1,2026-01-22,80812103,0386,A716,2026-01-22,2026-02-05,2,80812103|0386|A716|2026-01-21|net demand for forecast|036915,20260122-0386-A716-Train-#1
80848024|0386|A716|2026-01-22|net demand for forecast|038047_transit_20260122-0386-A716-Train-#1,2026-01-22,80848024,0386,A716,2026-01-22,2026-02-05,1,80848024|0386|A716|2026-01-22|net demand for forecast|038047,20260122-0386-A716-Train-#1
80848024|0386|A716|2026-01-22|net demand for forecast|038048_transit_20260122-0386-A716-Train-#1,2026-01-22,80848024,0386,A716,2026-01-22,2026-02-05,1,80848024|0386|A716|2026-01-22|net demand for forecast|038048,20260122-0386-A716-Train-#1
80848024|0386|A716|2026-01-22|net demand for forecast|038049_transit_20260122-0386-A716-Train-#1,2026-01-22,80848024,0386,A716,2026-01-22,2026-02-05,1,80848024|0386|A716|2026-01-22|net demand for forecast|038049,20260122-0386-A716-Train-#1
80848024|0386|A716|2026-01-22|net demand for forecast|038050_transit_20260122-0386-A716-Train-#1,2026-01-22,80848024,0386,A716,2026-01-22,2026-02-05,1,80848024|0386|A716|2026-01-22|net demand for forecast|038050,20260122-0386-A716-Train-#1
80848024|0386|A716|2026-01-22|net demand for forecast|038051_transit_20260122-0386-A716-Train-#1,2026-01-22,80848024,0386,A716,2026-01-22,2026-02-05,1,80848024|0386|A716|2026-01-22|net demand for forecast|038051,20260122-0386-A716-Train-#1
80848024|0386|A716|2026-01-22|net demand for forecast|038052_transit_20260122-0386-A716-Train-#1,2026-01-22,80848024,0386,A716,2026-01-22,2026-02-05,1,80848024|0386|A716|2026-01-22|net demand for forecast|038052,20260122-0386-A716-Train-#1
80848024|0386|A716|2026-01-22|net demand for forecast|038053_transit_20260122-0386-A716-Train-#1,2026-01-22,80848024,0386,A716,2026-01-22,2026-02-05,1,80848024|0386|A716|2026-01-22|net demand for forecast|038053,20260122-0386-A716-Train-#1
80848024|0386|A716|2026-01-22|net demand for forecast|038054_transit_20260122-0386-A716-Train-#1,2026-01-22,80848024,0386,A716,2026-01-22,2026-02-05,1,80848024|0386|A716|2026-01-22|net demand for forecast|038054,20260122-0386-A716-Train-#1
80848026|0386|A716|2026-01-22|net demand for forecast|038131_transit_20260122-0386-A716-Train-#1,2026-01-22,80848026,0386,A716,2026-01-22,2026-02-06,1,80848026|0386|A716|2026-01-22|net demand for forecast|038131,20260122-0386-A716-Train-#1
80848026|0386|A716|2026-01-22|net demand for forecast|038132_transit_20260122-0386-A716-Train-#1,2026-01-22,80848026,0386,A716,2026-01-22,2026-02-05,1,80848026|0386|A716|2026-01-22|net demand for forecast|038132,20260122-0386-A716-Train-#1
80848026|0386|A716|2026-01-22|net demand for forecast|038133_transit_20260122-0386-A716-Train-#1,2026-01-22,80848026,0386,A716,2026-01-22,2026-02-05,2,80848026|0386|A716|2026-01-22|net demand for forecast|038133,20260122-0386-A716-Train-#1
80848026|0386|A716|2026-01-22|net demand for forecast|038134_transit_20260122-0386-A716-Train-#1,2026-01-22,80848026,0386,A716,2026-01-22,2026-02-05,2,80848026|0386|A716|2026-01-22|net demand for forecast|038134,20260122-0386-A716-Train-#1
80848026|0386|A716|2026-01-22|net demand for forecast|038135_transit_20260122-0386-A716-Train-#1,2026-01-22,80848026,0386,A716,2026-01-22,2026-02-05,2,80848026|0386|A716|2026-01-22|net demand for forecast|038135,20260122-0386-A716-Train-#1
80848026|0386|A716|2026-01-22|net demand for forecast|038136_transit_20260122-0386-A716-Train-#1,2026-01-22,80848026,0386,A716,2026-01-22,2026-02-05,2,80848026|0386|A716|2026-01-22|net demand for forecast|038136,20260122-0386-A716-Train-#1
80848026|0386|A716|2026-01-22|net demand for forecast|038137_transit_20260122-0386-A716-Train-#1,2026-01-22,80848026,0386,A716,2026-01-22,2026-02-05,2,80848026|0386|A716|2026-01-22|net demand for forecast|038137,20260122-0386-A716-Train-#1
80848026|0386|A716|2026-01-22|net demand for forecast|038138_transit_20260122-0386-A716-Train-#1,2026-01-22,80848026,0386,A716,2026-01-22,2026-02-05,2,80848026|0386|A716|2026-01-22|net demand for forecast|038138,20260122-0386-A716-Train-#1
80848026|0386|A716|2026-01-22|net demand for forecast|038139_transit_20260122-0386-A716-Train-#1,2026-01-22,80848026,0386,A716,2026-01-22,2026-02-05,2,80848026|0386|A716|2026-01-22|net demand for forecast|038139,20260122-0386-A716-Train-#1
80848026|0386|A716|2026-01-22|net demand for forecast|038140_transit_20260122-0386-A716-Train-#1,2026-01-22,80848026,0386,A716,2026-01-22,2026-02-05,2,80848026|0386|A716|2026-01-22|net demand for forecast|038140,20260122-0386-A716-Train-#1
80848026|0386|A716|2026-01-22|net demand for forecast|038141_transit_20260122-0386-A716-Train-#1,2026-01-22,80848026,0386,A716,2026-01-22,2026-02-05,2,80848026|0386|A716|2026-01-22|net demand for forecast|038141,20260122-0386-A716-Train-#1
80848026|0386|A716|2026-01-22|net demand for forecast|038142_transit_20260122-0386-A716-Train-#1,2026-01-22,80848026,0386,A716,2026-01-22,2026-02-05,2,80848026|0386|A716|2026-01-22|net demand for forecast|038142,20260122-0386-A716-Train-#1
80848026|0386|A716|2026-01-22|net demand for forecast|038143_transit_20260122-0386-A716-Train-#1,2026-01-22,80848026,0386,A716,2026-01-22,2026-02-05,2,80848026|0386|A716|2026-01-22|net demand for forecast|038143,20260122-0386-A716-Train-#1
80848026|0386|A716|2026-01-22|net demand for forecast|038144_transit_20260122-0386-A716-Train-#1,2026-01-22,80848026,0386,A716,2026-01-22,2026-02-05,2,80848026|0386|A716|2026-01-22|net demand for forecast|038144,20260122-0386-A716-Train-#1
80848026|0386|A716|2026-01-22|net demand for forecast|038145_transit_20260122-0386-A716-Train-#1,2026-01-22,80848026,0386,A716,2026-01-22,2026-02-05,2,80848026|0386|A716|2026-01-22|net demand for forecast|038145,20260122-0386-A716-Train-#1
80848026|0386|A716|2026-01-22|net demand for forecast|038146_transit_20260122-0386-A716-Train-#1,2026-01-22,80848026,0386,A716,2026-01-22,2026-02-06,2,80848026|0386|A716|2026-01-22|net demand for forecast|038146,20260122-0386-A716-Train-#1
80848026|0386|A716|2026-01-22|net demand for forecast|038147_transit_20260122-0386-A716-Train-#1,2026-01-22,80848026,0386,A716,2026-01-22,2026-02-05,2,80848026|0386|A716|2026-01-22|net demand for forecast|038147,20260122-0386-A716-Train-#1
80848026|0386|A716|2026-01-22|net demand for forecast|038148_transit_20260122-0386-A716-Train-#1,2026-01-22,80848026,0386,A716,2026-01-22,2026-02-05,2,80848026|0386|A716|2026-01-22|net demand for forecast|038148,20260122-0386-A716-Train-#1
80848026|0386|A716|2026-01-22|net demand for forecast|038149_transit_20260122-0386-A716-Train-#1,2026-01-22,80848026,0386,A716,2026-01-22,2026-02-05,2,80848026|0386|A716|2026-01-22|net demand for forecast|038149,20260122-0386-A716-Train-#1
80812103|0386|A716|2026-01-21|net demand for safety|036916_transit_20260122-0386-A716-Train-#1,2026-01-22,80812103,0386,A716,2026-01-22,2026-02-05,16,80812103|0386|A716|2026-01-21|net demand for safety|036916,20260122-0386-A716-Train-#1
80812845|0386|A716|2026-01-22|net demand for safety|037869_transit_20260122-0386-A716-Train-#1,2026-01-22,80812845,0386,A716,2026-01-22,2026-02-06,57,80812845|0386|A716|2026-01-22|net demand for safety|037869,20260122-0386-A716-Train-#1
80848024|0386|A716|2026-01-22|net demand for safety|038055_transit_20260122-0386-A716-Train-#1,2026-01-22,80848024,0386,A716,2026-01-22,2026-02-05,5,80848024|0386|A716|2026-01-22|net demand for safety|038055,20260122-0386-A716-Train-#1
80848026|0386|A716|2026-01-22|net demand for safety|038150_transit_20260122-0386-A716-Train-#1,2026-01-22,80848026,0386,A716,2026-01-22,2026-02-05,51,80848026|0386|A716|2026-01-22|net demand for safety|038150,20260122-0386-A716-Train-#1
21103371|0386|A716|2026-01-21|push replenishment|036283_transit_20260122-0386-A716-Train-#1,2026-01-22,21103371,0386,A716,2026-01-22,2026-02-05,36,21103371|0386|A716|2026-01-21|push replenishment|036283,20260122-0386-A716-Train-#1
21176384|0386|A716|2026-01-21|push replenishment|036433_transit_20260122-0386-A716-Train-#1,2026-01-22,21176384,0386,A716,2026-01-22,2026-02-05,7,21176384|0386|A716|2026-01-21|push replenishment|036433,20260122-0386-A716-Train-#1
80804128|0386|A716|2026-01-21|push replenishment|036571_transit_20260122-0386-A716-Train-#1,2026-01-22,80804128,0386,A716,2026-01-22,2026-02-05,31,80804128|0386|A716|2026-01-21|push replenishment|036571,20260122-0386-A716-Train-#1
80812103|0386|A716|2026-01-21|push replenishment|036917_transit_20260122-0386-A716-Train-#1,2026-01-22,80812103,0386,A716,2026-01-22,2026-02-05,9,80812103|0386|A716|2026-01-21|push replenishment|036917,20260122-0386-A716-Train-#1
80812154|0386|A716|2026-01-21|push replenishment|036937_transit_20260122-0386-A716-Train-#1,2026-01-22,80812154,0386,A716,2026-01-22,2026-02-05,9,80812154|0386|A716|2026-01-21|push replenishment|036937,20260122-0386-A716-Train-#1
80848022|0386|A716|2026-01-21|push replenishment|037088_transit_20260122-0386-A716-Train-#1,2026-01-22,80848022,0386,A716,2026-01-22,2026-02-05,79,80848022|0386|A716|2026-01-21|push replenishment|037088,20260122-0386-A716-Train-#1
80864470|0386|A716|2026-01-21|push replenishment|037158_transit_20260122-0386-A716-Train-#1,2026-01-22,80864470,0386,A716,2026-01-22,2026-02-05,50,80864470|0386|A716|2026-01-21|push replenishment|037158,20260122-0386-A716-Train-#1
21128377|0386|A716|2026-01-22|push replenishment|037216_transit_20260122-0386-A716-Train-#1,2026-01-22,21128377,0386,A716,2026-01-22,2026-02-06,54,21128377|0386|A716|2026-01-22|push replenishment|037216,20260122-0386-A716-Train-#1
21132988|0386|A716|2026-01-22|push replenishment|037251_transit_20260122-0386-A716-Train-#1,2026-01-22,21132988,0386,A716,2026-01-22,2026-02-05,12,21132988|0386|A716|2026-01-22|push replenishment|037251,20260122-0386-A716-Train-#1
21141769|0386|A716|2026-01-22|push replenishment|037311_transit_20260122-0386-A716-Train-#1,2026-01-22,21141769,0386,A716,2026-01-22,2026-02-05,39,21141769|0386|A716|2026-01-22|push replenishment|037311,20260122-0386-A716-Train-#1
21171453|0386|A716|2026-01-22|push replenishment|037393_transit_20260122-0386-A716-Train-#1,2026-01-22,21171453,0386,A716,2026-01-22,2026-02-05,4,21171453|0386|A716|2026-01-22|push replenishment|037393,20260122-0386-A716-Train-#1
21314602|0386|A716|2026-01-22|push replenishment|037419_transit_20260122-0386-A716-Train-#1,2026-01-22,21314602,0386,A716,2026-01-22,2026-02-05,24,21314602|0386|A716|2026-01-22|push replenishment|037419,20260122-0386-A716-Train-#1
21422791|0386|A716|2026-01-22|push replenishment|037475_transit_20260122-0386-A716-Train-#1,2026-01-22,21422791,0386,A716,2026-01-22,2026-02-05,6,21422791|0386|A716|2026-01-22|push replenishment|037475,20260122-0386-A716-Train-#1
80804138|0386|A716|2026-01-22|push replenishment|037575_transit_20260122-0386-A716-Train-#1,2026-01-22,80804138,0386,A716,2026-01-22,2026-02-06,37,80804138|0386|A716|2026-01-22|push replenishment|037575,20260122-0386-A716-Train-#1
80812845|0386|A716|2026-01-22|push replenishment|037870_transit_20260122-0386-A716-Train-#1,2026-01-22,80812845,0386,A716,2026-01-22,2026-02-05,139,80812845|0386|A716|2026-01-22|push replenishment|037870,20260122-0386-A716-Train-#1
80848024|0386|A716|2026-01-22|push replenishment|038056_transit_20260122-0386-A716-Train-#1,2026-01-22,80848024,0386,A716,2026-01-22,2026-02-05,49,80848024|0386|A716|2026-01-22|push replenishment|038056,20260122-0386-A716-Train-#1
80848026|0386|A715|2026-01-22|net demand for forecast|038115_transit_20260122-0386-A715-Train-#1,2026-01-22,80848026,0386,A715,2026-01-22,2026-02-01,3,80848026|0386|A715|2026-01-22|net demand for forecast|038115,20260122-0386-A715-Train-#1
80848026|0386|A715|2026-01-22|net demand for forecast|038116_transit_20260122-0386-A715-Train-#1,2026-01-22,80848026,0386,A715,2026-01-22,2026-02-01,3,80848026|0386|A715|2026-01-22|net demand for forecast|038116,20260122-0386-A715-Train-#1
80848026|0386|A715|2026-01-22|net demand for forecast|038117_transit_20260122-0386-A715-Train-#1,2026-01-22,80848026,0386,A715,2026-01-22,2026-02-01,5,80848026|0386|A715|2026-01-22|net demand for forecast|038117,20260122-0386-A715-Train-#1
80848026|0386|A715|2026-01-22|net demand for forecast|038118_transit_20260122-0386-A715-Train-#1,2026-01-22,80848026,0386,A715,2026-01-22,2026-02-01,6,80848026|0386|A715|2026-01-22|net demand for forecast|038118,20260122-0386-A715-Train-#1
80848026|0386|A715|2026-01-22|net demand for forecast|038119_transit_20260122-0386-A715-Train-#1,2026-01-22,80848026,0386,A715,2026-01-22,2026-02-01,6,80848026|0386|A715|2026-01-22|net demand for forecast|038119,20260122-0386-A715-Train-#1
80848026|0386|A715|2026-01-22|net demand for forecast|038120_transit_20260122-0386-A715-Train-#1,2026-01-22,80848026,0386,A715,2026-01-22,2026-02-01,6,80848026|0386|A715|2026-01-22|net demand for forecast|038120,20260122-0386-A715-Train-#1
80848026|0386|A715|2026-01-22|net demand for forecast|038121_transit_20260122-0386-A715-Train-#1,2026-01-22,80848026,0386,A715,2026-01-22,2026-02-01,6,80848026|0386|A715|2026-01-22|net demand for forecast|038121,20260122-0386-A715-Train-#1
80848026|0386|A715|2026-01-22|net demand for forecast|038122_transit_20260122-0386-A715-Train-#1,2026-01-22,80848026,0386,A715,2026-01-22,2026-02-01,6,80848026|0386|A715|2026-01-22|net demand for forecast|038122,20260122-0386-A715-Train-#1
80848026|0386|A715|2026-01-22|net demand for forecast|038123_transit_20260122-0386-A715-Train-#1,2026-01-22,80848026,0386,A715,2026-01-22,2026-02-01,6,80848026|0386|A715|2026-01-22|net demand for forecast|038123,20260122-0386-A715-Train-#1
80848026|0386|A715|2026-01-22|net demand for forecast|038124_transit_20260122-0386-A715-Train-#1,2026-01-22,80848026,0386,A715,2026-01-22,2026-02-01,6,80848026|0386|A715|2026-01-22|net demand for forecast|038124,20260122-0386-A715-Train-#1
80848026|0386|A715|2026-01-22|net demand for forecast|038125_transit_20260122-0386-A715-Train-#1,2026-01-22,80848026,0386,A715,2026-01-22,2026-02-01,7,80848026|0386|A715|2026-01-22|net demand for forecast|038125,20260122-0386-A715-Train-#1
80848026|0386|A715|2026-01-22|net demand for forecast|038126_transit_20260122-0386-A715-Train-#1,2026-01-22,80848026,0386,A715,2026-01-22,2026-02-01,7,80848026|0386|A715|2026-01-22|net demand for forecast|038126,20260122-0386-A715-Train-#1
80848026|0386|A715|2026-01-22|net demand for forecast|038127_transit_20260122-0386-A715-Train-#1,2026-01-22,80848026,0386,A715,2026-01-22,2026-02-01,7,80848026|0386|A715|2026-01-22|net demand for forecast|038127,20260122-0386-A715-Train-#1
80848026|0386|A715|2026-01-22|net demand for forecast|038128_transit_20260122-0386-A715-Train-#1,2026-01-22,80848026,0386,A715,2026-01-22,2026-02-01,7,80848026|0386|A715|2026-01-22|net demand for forecast|038128,20260122-0386-A715-Train-#1
80848026|0386|A715|2026-01-22|net demand for forecast|038129_transit_20260122-0386-A715-Train-#1,2026-01-22,80848026,0386,A715,2026-01-22,2026-02-01,7,80848026|0386|A715|2026-01-22|net demand for forecast|038129,20260122-0386-A715-Train-#1
21128377|0386|A715|2026-01-22|net demand for safety|037214_transit_20260122-0386-A715-Train-#1,2026-01-22,21128377,0386,A715,2026-01-22,2026-02-02,17,21128377|0386|A715|2026-01-22|net demand for safety|037214,20260122-0386-A715-Train-#1
21141769|0386|A715|2026-01-22|net demand for safety|037309_transit_20260122-0386-A715-Train-#1,2026-01-22,21141769,0386,A715,2026-01-22,2026-02-01,17,21141769|0386|A715|2026-01-22|net demand for safety|037309,20260122-0386-A715-Train-#1
80812845|0386|A715|2026-01-22|net demand for safety|037867_transit_20260122-0386-A715-Train-#1,2026-01-22,80812845,0386,A715,2026-01-22,2026-02-01,25,80812845|0386|A715|2026-01-22|net demand for safety|037867,20260122-0386-A715-Train-#1
80848026|0386|A715|2026-01-22|net demand for safety|038130_transit_20260122-0386-A715-Train-#1,2026-01-22,80848026,0386,A715,2026-01-22,2026-02-01,183,80848026|0386|A715|2026-01-22|net demand for safety|038130,20260122-0386-A715-Train-#1
21128377|0386|A715|2026-01-22|push replenishment|037215_transit_20260122-0386-A715-Train-#1,2026-01-22,21128377,0386,A715,2026-01-22,2026-02-01,45,21128377|0386|A715|2026-01-22|push replenishment|037215,20260122-0386-A715-Train-#1
21132988|0386|A715|2026-01-22|push replenishment|037250_transit_20260122-0386-A715-Train-#1,2026-01-22,21132988,0386,A715,2026-01-22,2026-02-01,13,21132988|0386|A715|2026-01-22|push replenishment|037250,20260122-0386-A715-Train-#1
21141769|0386|A715|2026-01-22|push replenishment|037310_transit_20260122-0386-A715-Train-#1,2026-01-22,21141769,0386,A715,2026-01-22,2026-02-01,36,21141769|0386|A715|2026-01-22|push replenishment|037310,20260122-0386-A715-Train-#1
21171453|0386|A715|2026-01-22|push replenishment|037392_transit_20260122-0386-A715-Train-#1,2026-01-22,21171453,0386,A715,2026-01-22,2026-02-01,1,21171453|0386|A715|2026-01-22|push replenishment|037392,20260122-0386-A715-Train-#1
