date,material,sending,receiving,quantity,ori_deployment_uid,actual_ship_date,actual_delivery_date,type
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C816,60,80813644|0386|C816|2025-09-12|push replenishment|000047,2025-09-12,2025-09-14,delivery_shipment
